,movie,date,gross
0,The Super Mario Bros. Movie,Apr 14-20,"$182,489,593"
1,The Super Mario Bros. Movie,Apr 7-13,"$278,248,717"
2,The Super Mario Bros. Movie,Mar 31-Apr 6,"$183,428,574"
3,John Wick: Chapter 4,Mar 24-30,"$147,063,085"
4,Shazam! Fury of the Gods,Mar 17-23,"$113,230,818"
5,Scream VI,Mar 10-16,"$157,731,672"
6,Creed III,Mar 3-9,"$144,237,883"
7,Ant-Man and the Wasp: Quantumania,Feb 24-Mar 2,"$114,530,891"
8,Ant-Man and the Wasp: Quantumania,Feb 17-23,"$183,771,488"
9,Magic Mike's Last Dance,Feb 10-16,"$73,245,180"
10,80 for Brady,Feb 3-9,"$89,952,549"
11,Avatar: The Way of Water,Jan 27-Feb 2,"$80,874,575"
12,Avatar: The Way of Water,Jan 20-26,"$95,033,308"
13,Avatar: The Way of Water,Jan 13-19,"$142,235,096"
14,Avatar: The Way of Water,Jan 6-12,"$137,624,992"
